kappa,L,p,feature,h,old_resolved,new_resolved,reason
0.0,4,0,order,0.95,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,1.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,order,2.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,0.6,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,0.7,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,0.8,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,0.95,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,1.1,False,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,1.25,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,1.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,1.65,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.0,6,0.05,mx,1.9,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0,order,0.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0,order,0.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0,mx,0.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0,mx,0.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,order,0.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,order,0.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,order,0.9,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,order,1.3,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,mx,0.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,mx,0.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,mx,0.7,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,mx,0.85,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.01,mx,1.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,order,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,order,0.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,order,0.65,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,order,0.8,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,order,0.9,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,order,1.3,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,mx,0.35,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,mx,0.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,mx,0.7,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,mx,0.85,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,mx,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,4,0.05,mx,1.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0,order,0.45,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0,mx,0.45,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,order,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,order,0.25,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,order,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,order,0.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,order,2.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,mx,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,mx,0.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,mx,0.35,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,mx,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,mx,0.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.01,mx,2.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,order,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,order,0.25,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,order,0.65,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,order,0.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,order,2.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,mx,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,mx,0.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,mx,0.35,True,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,mx,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,mx,0.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.3,6,0.05,mx,2.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0,order,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0,order,1.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0,mx,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0,mx,1.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.01,order,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.01,order,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.01,mx,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.01,mx,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.01,mx,1.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.01,mx,1.7,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.01,mx,1.85,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,order,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,order,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,order,1.5,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,order,1.6,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,order,1.75,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,mx,0.1,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,mx,0.45,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,mx,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,mx,1.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,mx,1.7,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,4,0.05,mx,1.9,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0,order,0.6,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0,mx,0.5,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,order,0.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,order,0.5,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,order,0.7,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,mx,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,mx,0.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,mx,0.5,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,mx,0.7,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,mx,1.85,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.01,mx,2.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,order,0.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,order,0.3,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,order,0.5,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,order,1.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,order,1.55,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,order,1.8,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,mx,0.05,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,mx,0.2,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,mx,0.55,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,mx,0.9,True,True,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,mx,1.6,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,mx,1.7,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,mx,1.85,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
0.8,6,0.05,mx,2.0,False,False,Actual A/B pair at both ends; full derivative/prominence/coarse support; masked stitches can change peaks
