n,kappa,h,ref,seed,method,group_first,energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,joint_pass,state_pass,observable_pass,seconds,nfev,nit,stop,archive,cnots,optimizer_success,raw_append_round_counter,pool_gradient_rounds,pool_derivatives,pool_parameter_shift_energy_evaluations,reoptimization_parameter_shift_energy_evaluations,optimizer_energy_evaluations,hardware_two_basis_circuit_evaluations_upper_bound,actual_hardware_executions,scope
8,0.9,1.5,plus,11,cost,validation,-13.692108614951035,0.00020695987362051582,0.9998443491861109,0.0015231260515168182,0.0004915933348424162,0.0006490212070926482,True,True,True,2.2542396660137456,6717,6352,budget,results/stage4_upgrade_v1/adaptive/cache/01338b4385a59a03af8a9b6ea2e60e4f34ab7005d3b895b7fbc3f54fa1b7de37.npz,128,False,2544,53,2544,5088,572502,6717,1168614,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.6,1.1,plus,11,cost,map,-10.353809187001426,5.089927514800863e-05,0.9999589623044184,0.00040976382914534315,0.0001491448818802532,0.00020669099356473986,True,True,True,9.13545366699691,11027,10514,budget,results/stage4_upgrade_v1/adaptive/cache/014f1283a4413050b6bad0b2e3f994dd2eb0b36f276db7becc6940224b09b88d.npz,128,False,2880,60,2880,5760,996368,11027,2026310,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.525,0.55,plus,11,gradient,heldout,-6.614504377054986,0.0007139131049958003,0.9983621929713866,0.009633675259212937,0.0053143383383894155,0.002395458363776637,True,True,True,3.4976987080008257,6169,5810,budget,results/stage4_upgrade_v1/adaptive/cache/016058319d3956880e31b07cf3f0a3cfdf238a09ee38b3f7c536f4fe966a9f0c.npz,128,False,2448,51,2448,4896,489390,6169,1000910,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.2,1.0,plus,11,cost,map,-9.666809718860554,4.55726968422443e-05,0.999917863267301,0.007363099360782291,0.0037745409685370768,0.0008209897292739132,True,True,True,3.9433958340086974,8709,8264,budget,results/stage4_upgrade_v1/adaptive/cache/0168084e14c4b08c768887cb4733ecc0e5553a0abfde485cca9f535df6598618.npz,64,True,2640,55,2640,5280,720980,8709,1469938,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.4,0.5,ghz,11,cost,map,-6.322374144063055,0.00024280286494959835,0.9993928541475684,0.01230049755112736,0.005058462933499486,0.000996328001332536,True,True,True,1.7815212919958867,3730,3454,budget,results/stage4_upgrade_v1/adaptive/cache/017a317462c34880bd5f9b897695315c374c90e02b3900194e788e588934c91b.npz,127,True,2544,53,2544,5088,299024,3730,615684,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.0,0.2,plus,37,fixed,development,-4.602647230723394,0.434694416048495,0.14416673108886355,0.9898457026602787,0.7201975798297191,0.41004854369325483,False,False,False,0.0041567500156816095,21,19,fixed_short,results/stage4_upgrade_v1/adaptive/cache/01b88c93db3918ad000f2a77c1402cc7be7fc602b7cca1ba061c6fe464f98c32.npz,16,True,48,0,0,0,336,21,714,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.525,1.25,antiphase,11,cost,heldout,-11.370520806494206,7.554214115379487e-05,0.9999382272109245,0.0010859587093325768,0.0004935500115726688,0.00024077316268789062,True,True,True,5.493107334012166,9422,8889,budget,results/stage4_upgrade_v1/adaptive/cache/01c0871cff9554682231b669f642fbdbf42c77f9b57620e80a56a85d1a462f39.npz,96,True,2592,54,2592,5184,792450,9422,1614112,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.7,0.3,plus,11,cost,map,-5.869253480333253,0.002256695176602097,0.522582164206547,0.021887353178278057,0.007075229921995774,0.03290267575166683,False,False,False,3.0062047079845797,4138,3832,budget,results/stage4_upgrade_v1/adaptive/cache/01cd6e3a665ed327bf7a9fc6fa7d1a4634476f64f513135607cd77c5f78dd793.npz,128,True,2304,48,2304,4608,313700,4138,644892,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
12,0.3,1.9,ghz,11,cost,n12,-24.221258028483398,2.4663921654640337e-05,0.9999690073169065,0.0014067845084228849,0.0004380095533842443,3.972277019748116e-05,True,True,True,10.620966625021538,3697,3414,budget,results/stage4_upgrade_v1/adaptive/cache/01dbd3e350883bd809cf91a8d6e08e8cae99e3e1353351e632411aad50ee89ff.npz,127,True,4032,56,4032,8064,325966,3697,675454,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.3,0.9,ghz,11,cost,map,-8.891029405106181,3.0139168623488644e-05,0.9999644241614486,0.002826664464570583,0.0011183988850745896,4.731575859517889e-05,True,True,True,4.24622349999845,9391,8916,budget,results/stage4_upgrade_v1/adaptive/cache/01dea0faa51b949d9539153a50f594b77bdd6c7d647ea93a144385017afd17bc.npz,95,True,2592,54,2592,5184,783632,9391,1596414,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.7,1.3,plus,11,cost,map,-11.90890799021702,7.356417058912434e-05,0.9999436771923512,0.001046752524921861,0.00029238689492810943,0.0002531071280829078,True,True,True,5.905156749999151,10188,9666,budget,results/stage4_upgrade_v1/adaptive/cache/0210823669bcee03353b47f54d75b2e8afc1be11f5ea6234310fcfe8807b8038.npz,128,False,2688,56,2688,5376,863672,10188,1758472,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.55,0.5,antiphase,11,cost,map,-6.331757247728991,0.0005867256755983652,0.9984264369556657,0.009869945914536174,0.0034183375681801353,0.0019795619167897183,True,True,True,6.203603875008412,8026,7589,budget,results/stage4_upgrade_v1/adaptive/cache/0243b1cfb50172cecf21ad0d65dcfe466e6a409f9c02fb1ef87daca4a3476042.npz,128,False,2880,60,2880,5760,754474,8026,1536520,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.0,1.4,ghz,11,cost,map,-12.69590193388529,4.0397778905854054e-05,0.9999712668031376,0.0015236883136289792,0.0008944441806293946,0.0002579452089379597,True,True,True,2.4698956250213087,5180,4866,budget,results/stage4_upgrade_v1/adaptive/cache/0246225007520c91d9e6aaaf0190ef0274102cc8932f967438595d16be70011b.npz,95,True,2448,51,2448,4896,415466,5180,851084,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.95,1.2,ghz,11,cost,map,-11.72502524968377,0.0009030554695794724,0.9991299277782792,0.003599669033214223,0.0010097446625456502,0.0025933471564681954,True,True,True,2.700457250000909,3580,3340,budget,results/stage4_upgrade_v1/adaptive/cache/02645527a566ee324ad275eea8dde244ddcb4093c9826a2581f5bd21c92e0aeb.npz,127,True,2400,50,2400,4800,264160,3580,545080,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.3,0.3,ghz,11,cost,mitigation,-5.871078789168681,8.359197440577226e-06,0.9999808473290366,0.0005590683636700344,0.0003536827011079158,0.00031469386890864426,True,True,True,2.385850249993382,5476,5097,budget,results/stage4_upgrade_v1/adaptive/cache/026d949bdce497706c22514ab4e0d131088d1c579cab7c3a96826481e1d10810.npz,127,True,2112,44,2112,4224,367204,5476,753808,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.025,1.25,plus,11,gradient,heldout,-11.645260741881078,1.3794442139669627e-06,0.999998833655034,9.374674967338459e-05,4.7259959034484655e-05,5.222264196635962e-06,True,True,True,0.5681307089980692,1995,1821,energy_stagnation,results/stage4_upgrade_v1/adaptive/cache/027771d7d43a155b9af716835fb9058a3fb0948af754e3c741cddc493658b1d0.npz,96,True,2016,42,2016,4032,122372,1995,256798,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,1.0,1.0,antiphase,11,cost,map,-10.645012821359295,0.001361437943844468,0.9981834827087157,0.011402312190626707,0.003885598459122258,0.00042043428227767077,False,True,False,1.9319483329891227,2337,2132,budget,results/stage4_upgrade_v1/adaptive/cache/027c54ef3cb27be009c64f080704f28e8eb3a4da1e4d86661e1ef0e0ee117efe.npz,128,True,2304,48,2304,4608,170084,2337,354058,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.1,0.3,antiphase,11,cost,validation,-7.402043063080396,3.0596943201288695e-08,0.9999999636438045,2.4597577338303367e-06,1.115769718729176e-06,6.50504185156775e-07,True,True,True,0.6146912499971222,1908,1710,pool_gradient,results/stage4_upgrade_v1/adaptive/cache/02ae3f0c1386c239e4b0913beb0cdb233b9cf516aab803a810e0724166a9303b.npz,122,True,1968,42,2016,4032,118862,1908,249604,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.85,0.9,ghz,11,cost,map,-9.463215947891264,0.001814953672854891,0.997512965775001,0.008267759454311019,0.002717447889176522,0.006102027143888633,False,True,False,2.1109965829818975,3628,3351,budget,results/stage4_upgrade_v1/adaptive/cache/02bd588f0b7eb59f879491780054119007067b3496461887816cfba1a892e9b5.npz,127,True,2400,50,2400,4800,274512,3628,565880,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.25,0.65,plus,11,cost,validation,-7.432055541148771,9.691885774598674e-06,0.9999830843752562,0.002033294542166608,0.0009525739435957692,0.00027426006333397535,True,True,True,3.680770333012333,9800,9300,budget,results/stage4_upgrade_v1/adaptive/cache/02cbb145634f2ed06cec2cb3ad9a27ab15e0c7ab46635c1ed06e9cd71c07f6ea.npz,128,False,2736,57,2736,5472,828424,9800,1687392,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.0,1.1,plus,23,fixed,development,-10.236502850055562,0.06984560278989105,0.7651879719246522,0.4323457646647019,0.32214955097295245,0.17523791176040604,False,False,False,0.0026626670151017606,10,8,fixed_short,results/stage4_upgrade_v1/adaptive/cache/02dfc1a8dcae124e4932d58c2732d2adc7bc9ad325f85ab70d08d105e2bff0b8.npz,16,True,48,0,0,0,160,10,340,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.5,0.1,ghz,11,cost,development,-4.357396619065224,0.0013073462466018926,0.9816534588531032,0.004041238683593962,0.0012632070845329246,0.001751952277285862,False,False,False,2.0273802499868907,6971,6502,budget,results/stage4_upgrade_v1/adaptive/cache/02f5e140c4007ae8356f2c7c30e3c3d6e014f740fdf60eb890227cfe2db3167a.npz,127,True,2688,56,2688,5376,566522,6971,1157738,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.2,0.1,plus,11,cost,map,-6.4250511008897835,1.0131659478052057e-07,0.9999997216102211,1.3797886662114678e-06,1.0009981139535995e-06,5.4916472448374165e-06,True,True,True,0.1953934999764897,533,430,pool_gradient,results/stage4_upgrade_v1/adaptive/cache/031d3dda91517cc4b51c6f08f1eab33a152d60900165efc006ab429837c438d1.npz,64,True,1488,32,1536,3072,22918,533,53046,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.15,0.1,plus,11,cost,map,-6.823563655635291,5.4247138780993964e-08,0.9999998655938088,7.047519258174262e-07,5.010313526288002e-07,2.9909962140847735e-06,True,True,True,0.22137179199489765,541,449,pool_gradient,results/stage4_upgrade_v1/adaptive/cache/0343e6e1756d675456ac9bc8270198a4983070cb091fa6a3a128069114a7fabd.npz,64,True,1488,32,1536,3072,24914,541,57054,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.05,1.2,antiphase,11,cost,map,-11.263029932903637,3.755902920454801e-06,0.9999971397851828,0.00015299949911368182,9.193423763587116e-05,3.441949422100521e-05,True,True,True,4.7157160000060685,7988,7614,budget,results/stage4_upgrade_v1/adaptive/cache/035d1f8fbf9f50ab5580498d075abdf276f4796811756fd0ee02b4c980a32a8b.npz,128,False,2640,55,2640,5280,695450,7988,1417436,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.0,1.2,ghz,11,cost,map,-11.392198853852111,9.970917247414945e-08,0.9999999292010479,8.463889822563075e-06,2.814450893839915e-06,6.540028041346346e-07,True,True,True,2.092399415996624,4620,4303,budget,results/stage4_upgrade_v1/adaptive/cache/0364522d2c2f272a03d1fa1350e17a89762199531ee87cd313491e0190644add.npz,127,False,2448,51,2448,4896,379600,4620,778232,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.9,1.5,antiphase,11,cost,validation,-13.691436632748424,0.0002909576489469323,0.9997736704944589,0.001179602740286688,0.0004029534533321888,0.0008945528843701256,True,True,True,2.6373708750179503,7800,7391,budget,results/stage4_upgrade_v1/adaptive/cache/036e567e8ee5691ab5393e5ad4db4f494f69d41283620902f543d85e968b6dd1.npz,128,True,2496,52,2496,4992,635302,7800,1296188,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.75,0.6,ghz,11,cost,map,-7.318398845341814,0.003667782690991994,0.9906667786460663,0.028547106540266376,0.009355875029769117,0.004702802378871218,False,True,False,1.7042589579941705,3838,3555,budget,results/stage4_upgrade_v1/adaptive/cache/0373c4e32c2043b40e64c96da7ba9301200f62db3d2e24dab1887152df4b6e95.npz,127,True,2400,50,2400,4800,274926,3838,567128,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.95,0.9,antiphase,11,cost,map,-9.857117021643408,0.0012842701484618857,0.9983171847633486,0.009107457249591944,0.0032710720867383247,0.0005904500984733607,False,True,False,2.4716830829856917,3065,2831,budget,results/stage4_upgrade_v1/adaptive/cache/037b278278fa9e058d5489a12c9fd32fdf09841248bd18ed5b4d5db19c88bfec.npz,128,True,2304,48,2304,4608,227852,3065,471050,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.35,0.1,plus,11,cost,map,-5.2310059801427276,1.2710002177396262e-06,0.9999918592291865,3.284994654562112e-05,2.3496953507118334e-05,7.377669750549543e-05,True,True,True,0.9278282079903875,2189,2005,pool_gradient,results/stage4_upgrade_v1/adaptive/cache/039463b06781a98751b1e4202644c4725961eb5dc69a86e8ab1ff1b5bee9acde.npz,64,True,1968,42,2016,4032,144376,2189,301194,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.7,0.8,antiphase,11,cost,map,-8.423424123468878,0.000778561710949699,0.9990703730863827,0.0044111672033032845,0.0017253143361225798,0.003427983807131163,True,True,True,2.6183705419825856,3279,3030,budget,results/stage4_upgrade_v1/adaptive/cache/03a35bf4466fd3677c765e8fff0801635bdda2f8d2ba348f4e2592d2263369ac.npz,128,True,2496,52,2496,4992,258304,3279,533150,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.45,0.15,antiphase,37,fixed,development,-3.5999999999999983,0.12172680403016128,0.00048412150083379453,1.413546765493811,0.44512323080084054,0.5053540425841057,False,False,False,0.0025277920067310333,6,4,fixed_short,results/stage4_upgrade_v1/adaptive/cache/03a41795d1419d30c732d4230fab24b7ff0d049b8abe1f71ec0291d2a9165e45.npz,6,True,48,0,0,0,0,6,12,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
12,0.3,0.4,antiphase,11,cost,n12,-8.76426732708881,0.03340883154379378,0.0563965414919524,1.1958228789362653,0.6994674196598796,0.13953803459973663,False,False,False,9.071100542001659,3186,2906,budget,results/stage4_upgrade_v1/adaptive/cache/03ba881e0321812841f3fd3280036f7164d42df4b51f6dbf5ab4ea63c731c773.npz,128,True,3888,54,3888,7776,258280,3186,538484,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.8,0.8,antiphase,11,cost,development,-8.68501330876256,0.0008844196395401127,0.9988202817706114,0.008559715393510414,0.002796548563120227,0.001991853985697678,True,True,True,0.9806699170148931,2904,2669,budget,results/stage4_upgrade_v1/adaptive/cache/03cb6f7bb339c236f476942130f960b0e170c5dbbe47e098273c5de7a77c7b6f.npz,128,True,2448,51,2448,4896,226592,2904,468784,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.15,1.0,plus,11,cost,map,-9.757326663580272,1.5033380440510058e-05,0.9999832691228747,0.0018920922958468311,0.0007635442728041175,0.00018443607049589694,True,True,True,5.1390569579962175,10094,9563,budget,results/stage4_upgrade_v1/adaptive/cache/03cbaa520a069ce451f3c56a9c649eefd02917c8b4289b9460bf8c39a1010dcd.npz,96,True,2736,57,2736,5472,890804,10094,1812740,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.15,0.9,antiphase,11,cost,map,-9.143393042514749,1.3811199069069247e-05,0.9999844080801276,0.0013610971470155442,0.0004493477359974185,0.00014071449458907814,True,True,True,1.1923391669988632,2337,2152,budget,results/stage4_upgrade_v1/adaptive/cache/03e11140548dd762ba63b05e7edfd27c0daca5e24cb18e2e749b9321a66fface.npz,128,True,2544,53,2544,5088,186614,2337,388078,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.025,1.75,antiphase,11,cost,heldout,-15.144983045187109,8.74830580273045e-05,0.9999344337037523,0.003947927489017136,0.0020931887949539596,0.00041922775953340263,True,True,True,3.0031167499837466,8286,7811,budget,results/stage4_upgrade_v1/adaptive/cache/03e4b1c326324fab9ddd91991dd9d8fbe545b67ff9d89db3c297c946636ef81d.npz,64,True,2496,52,2496,4992,676790,8286,1380136,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.45,1.3,antiphase,11,cost,map,-11.696475728015589,6.283356710801158e-05,0.999950515033641,0.002034700882121737,0.0008126183307235191,0.000234693048669965,True,True,True,8.052819625008851,9195,8722,budget,results/stage4_upgrade_v1/adaptive/cache/03e8ad90b7d1eaa113eeddae4d28ad7a33af73d64252266c258e1465f40ce625.npz,96,False,2640,55,2640,5280,789302,9195,1607554,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.85,1.1,plus,11,cost,map,-10.781156838532779,0.00039914934401874547,0.999653552465372,0.0018856332674453552,0.000631213506258943,0.0012511775945786008,True,True,True,3.5181759580154903,5091,4764,budget,results/stage4_upgrade_v1/adaptive/cache/03f754cd33d007156a6a0b9c712b7ef5b9e6b1ca44e0907eebe6420f23f46893.npz,128,True,2592,54,2592,5184,424202,5091,868954,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.05,1.9,antiphase,11,cost,map,-16.233108924914518,1.2090228929118041e-05,0.9999932403347018,0.0009631122990131427,0.000420560167809253,6.548210021539713e-05,True,True,True,4.474367249989882,5660,5298,budget,results/stage4_upgrade_v1/adaptive/cache/044731ab5007d887d8110863c2fa9ffd14981e81ad4530325da6ec1557b6ee88.npz,96,True,2592,54,2592,5184,502172,5660,1026032,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.5,0.15,antiphase,37,fixed,development,-3.9999999999999982,0.07108108440839944,0.001959175486408019,1.5350318423202938,0.4417003208623647,0.5167218210920341,False,False,False,0.002379249985096976,5,3,fixed_short,results/stage4_upgrade_v1/adaptive/cache/044fced3b0a6f4bee245fd80dd74e6f697a27e8d6ceaabc6f1e507e51374e9d4.npz,6,True,48,0,0,0,0,5,10,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.2,0.2,plus,11,cost,map,-6.5008152843253875,4.796484279645519e-06,0.9999828645549255,7.497272625656137e-05,5.389492668961271e-05,0.0001447110775155136,True,True,True,0.9636178340006154,2120,1928,pool_gradient,results/stage4_upgrade_v1/adaptive/cache/0470595337207f7ec72bf78e23999dc5b711ff05dccb2a09b883e70024f3596c.npz,64,True,2064,44,2112,4224,141316,2120,295320,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.85,1.0,antiphase,11,cost,map,-10.11137323589627,0.0008650171173181231,0.9990187003410895,0.0041429005228516,0.001534057753541207,0.0036243885493257855,True,True,True,2.4566330419911537,3593,3357,budget,results/stage4_upgrade_v1/adaptive/cache/04ba1e28746845716d0e959b8cf416928373f83ab0211e11ae751f49e95e57d4.npz,128,True,2448,51,2448,4896,286368,3593,589714,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.8,0.6,plus,11,fixed,development,-6.676360035652053,0.11303112511253555,0.5021880040338691,0.6607713014233209,0.23656275767403823,0.235270154682659,False,False,False,0.003344249998917803,14,11,fixed_short,results/stage4_upgrade_v1/adaptive/cache/04eb78a4404758bf4c002b0c472ce8dbbfbafd45be4d6056503adc3f7d37facf.npz,16,True,48,0,0,0,224,14,476,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.45,0.3,antiphase,11,cost,map,-5.241048343585819,0.0006516286549145267,0.9971644523331741,0.03505617619354173,0.011456220723661703,0.0033140518983374445,False,True,False,3.590087416989263,5160,4796,budget,results/stage4_upgrade_v1/adaptive/cache/04fb6d7173f407fd8d9d4466443c71a1f40a405c63b1073e1180417c9d13d752.npz,128,True,2736,57,2736,5472,420546,5160,862356,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
12,0.8,1.1,plus,11,cost,n12,-16.032913803601684,0.003906682383751321,0.9895613738303777,0.03083646474837508,0.011048051651052826,0.009605431219442018,False,False,False,11.99558733298909,2870,2627,budget,results/stage4_upgrade_v1/adaptive/cache/04fdbbaf3580ad296fa9c2232abdb64f1a15404e0a1db2a9bffefee8bfb97b32.npz,128,True,4176,58,4176,8352,251948,2870,526340,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.45,0.4,plus,11,cost,map,-5.754259419625143,0.00025038923443099215,0.9995243313180058,0.004936914995253006,0.0013411961510476633,0.0014939325623940514,True,True,True,6.471796124998946,8580,8092,budget,results/stage4_upgrade_v1/adaptive/cache/0544c2a1be5c6af2da2c22f5116b83c82aa176038eea8d9db8446ede37142eac.npz,128,False,3072,64,3072,6144,837092,8580,1703632,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
12,0.8,0.7,plus,11,cost,n12,-12.141126719712561,0.008014794119067137,0.9430476737698608,0.07920599007219227,0.025144514201270868,0.014689783981514548,False,False,False,7.795038749987725,2272,2024,budget,results/stage4_upgrade_v1/adaptive/cache/05663c00055f6a1e8a402bcb7a4e7f83fc9f294938b103fa7d8d186e82e26ca1.npz,128,True,4320,60,4320,8640,195990,2272,413804,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
8,0.65,0.1,plus,11,cost,map,-5.230928794832771,3.2618854154287114e-05,0.5000842537104028,0.00022971567176266472,7.49573712085505e-05,0.0013488138347829137,False,False,True,1.0249612080224324,1617,1443,pool_gradient,results/stage4_upgrade_v1/adaptive/cache/056e17c7800a749600b626c7882c53dd65252907185cad65062c8a1b95bd9744.npz,64,True,1776,38,1824,3648,95784,1617,202098,0,prospective two-basis parameter-shift cost; all actual optimization uses analytic statevectors
