n,kappa,h,label,level,evidence,source,bc
8,0.0,1.75,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/834b70270029c1d233c845824ef1366c8faa37a9cf9e9fdc3723d6f005adc55e.npz,PBC
8,0.0,1.8,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/06e928b646ab84031dc875cf0e87ec09ed25d1372b2e11d1aee3498884e0baf9.npz,PBC
8,0.0,1.85,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/c43764e9714d7836f81fe530e1eab63235bd6d501dea194c9ce13f019711a9fd.npz,PBC
8,0.0,1.9,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/0db7f6b35bc4b735a3bf6ba4c06c00df42340640be0befc28d3d7e4836390307.npz,PBC
8,0.0,1.95,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/cbe9fde59cd4f4c3e7674e22dc7e80db3e963c1a30418d0a3f55241ba0c7b14d.npz,PBC
8,0.0,2.0,paramagnetic-like,R0,"Exact Ising disordered side, away from h=1",results/stage6_v1/reference_atlas/cache/5a3ce19bcecb747994fb0bf0225a13d5440a2bf4108f9e97df4a093eb9254d0a.npz,PBC
8,0.1,0.05,ferro-like,R0_extension,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,results/stage6_v1/reference_atlas/cache/8711ede748ed8c59183b6a8f4e1e4cccd27881aca5f287574e8b6094e38f4b17.npz,PBC
8,0.1,0.1,ferro-like,R0_extension,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,results/stage6_v1/reference_atlas/cache/c7db150c1763e2d57de6f63d71f6e0c66bb6d1aa5ee8cd371e59e9aeef309fa9.npz,PBC
8,0.1,0.15,ferro-like,R0_extension,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,results/stage6_v1/reference_atlas/cache/49521632b385419f1dc26c3f31dca91c8b02852deb2d557e757eb77f14257d8c.npz,PBC
8,0.1,0.2,ferro-like,R0_extension,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,results/stage6_v1/reference_atlas/cache/d029ee2322cf98303a4f3eebe031772d09abf0229ff04b8a751e848e184b753d.npz,PBC
8,0.1,0.25,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/f8a8902993ab575f43449ce5492b5da47829bb4b9cff0c9620bf23a9507f8789.npz,PBC
8,0.1,0.3,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/1b7dbc7ecffe6d2b76bdf1e126980a86ffa8c84f97784bf27cc161bb08cb23a0.npz,PBC
8,0.1,0.35,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/c75870d6474a0eb236e0c6b9ab25e9d9a58215c2e069d48f857be8db53ab8e92.npz,PBC
8,0.1,0.4,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/4fef8e882e0c8e132abe13d27571cf3aabf5b37439950f437e29b09efd026919.npz,PBC
8,0.1,0.45,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/943a9ee5c6e79ed675aa6157a41aa1e919e40de0c8b97419385818e8c324bd6d.npz,PBC
8,0.1,0.5,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/4e09134eadb5baab533e1017f3682408dce865905a72877ad63be94c8fcf2642.npz,PBC
8,0.1,0.55,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/e7495fa4d9868e682901ff9bbdf6b9d69d536095cdf30f209f87d74e5c256eea.npz,PBC
8,0.1,0.6,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/538868405c3c6155f978bec91b177d358398c2547d5c5d72638ef06b2c00ec0f.npz,PBC
8,0.1,0.65,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/f087f8267349488c78679f49a74c49b7578d45e4df95eb72aacfeec59daf9281.npz,PBC
8,0.1,0.7,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/a1961c5ebd4745146983bc1d5aa0e19b3b5e6048ceaa756e177b811d5e185684.npz,PBC
8,0.1,0.7125,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/e0a94dffba67396edf7d9dc8d43f9fc9192d5e456a71befd889d54422c7b8670.npz,PBC
8,0.1,0.725,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/525d1dc18c2736a2509de2cf5d4709c56566dd6b4a6ecefa85b177701348ff7b.npz,PBC
8,0.1,0.7375,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/be5a1ba6beb7264dc38c5c3df74eead8bc8884ac22e88de3cb5abb7fb5cd189b.npz,PBC
8,0.1,0.75,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/31437096426ed0ef29a205fa68e9c79823656d4bb5a87e42ad75c4088808a400.npz,PBC
8,0.1,0.7625,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/440b969c26a9bc5b66d7bbe24e7d52dac6c5ab50dfb410415865effe66af9916.npz,PBC
8,0.1,0.775,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/9af62cced34d0e61f55b49c498ede53bbf80248b8f1855bf2bde3b2ddee36370.npz,PBC
8,0.1,0.7875,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/71a3ab24b1921d5b530e78a55f4782868e5f7d245b0af33b7b42e4d1948b9014.npz,PBC
8,0.1,0.8,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/e620bdf70c08b5f4765c718fb3057b08a1d95d250be643188bdd98813f4b7171.npz,PBC
8,0.1,0.85,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/df9c4e26ed73d7830ac316cf5e7c62a6eae6d0da987652a4024857f4b6cd1fa8.npz,PBC
8,0.1,0.9,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/36847d67739bee917faeb384c39c3758f88f894e7a657e9d7a78e4512d7cdc82.npz,PBC
8,0.1,0.95,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/1c0213a2583834ac24cc2de605d1e293b560886920ba1444fceaba5eacf4126d.npz,PBC
8,0.1,1.0,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/fbd37d88e7b6ae089497f94701a1c3e9cbf97640ceeb9bbac1d7739a2bac13ad.npz,PBC
8,0.1,1.05,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/3b8c60c55ebd47b4a3cc385d3bfa7e2670932bce7c8d8e6c9ade38104ee0a55c.npz,PBC
8,0.1,1.1,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/21dab282cf12af5b6d187124ac95991e09ccd3919e58bfb90ee609db05193d22.npz,PBC
8,0.1,1.15,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/52656a392cb9b6f4fc10b1c64a00652604731c0244b217120ca38febb65de61f.npz,PBC
8,0.1,1.2,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/aa128259d1ae7c63a58da1927f43a4fe97ae66ac77f64dcf00517048af430b5b.npz,PBC
8,0.1,1.25,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/52870ed8609ac77d671fd4dd870085db5a8575aedacdbf6f1c449ac7feaa671e.npz,PBC
8,0.1,1.3,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/4b8fb09a6aaa8c77ea4f02636338ac741f6d25e99807fd34250e67d8037389d8.npz,PBC
8,0.1,1.35,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/bbf4c61c3a345aa6f9eba880bf29f0a60d03c94ed8781f839e921b08dceccbf0.npz,PBC
8,0.1,1.4,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/ac91acc476ab49a3ab17be758c2a39011ee735c7e09694b955aafef3c0a4b52f.npz,PBC
8,0.1,1.45,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/29dc0c53adc85f126fb94ad3b1640ddee127654b87119437296b0507315066de.npz,PBC
8,0.1,1.5,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/cfeebb6464c828efeff56ae0dd2249dd2d06323d0d25bb8f53ef1be80750c777.npz,PBC
8,0.1,1.55,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/66975c590b19cdec7b90b8298d26924384323895875a2ccb65876f65b9d38e0d.npz,PBC
8,0.1,1.6,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/0ca372f7c9f582856aeddcd30fa1c78738bcde246dbafb7a04380f5f126facd3.npz,PBC
8,0.1,1.65,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/8c64a66ab415fe20775c9c9e0897b653d7e86c83fa2e7809b693d386baf2f730.npz,PBC
8,0.1,1.7,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/d95da27e6caa2e4a42fc940564d45ac1a6bd47d27107ffdc0837557b7aae6f21.npz,PBC
8,0.1,1.75,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/6b45f8ad1a1f1c97d1e1967755aba2b2acd239eb4c2bd33881b40eebbc4fe1a3.npz,PBC
8,0.1,1.8,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/ac2d19a69e38411678aa58d4f4ac1f0db009c34dcbdfbd91634b2d0b57a3433d.npz,PBC
8,0.1,1.85,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/77fad32a9d3f33a2f4e2f4077b0cf44dc4112f338ac8ca0bc03eb01e02fde624.npz,PBC
8,0.1,1.9,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/01eaec3828926fd3939570f805463a7fff2cd52b6d18a700fbe34d9acf6bfd7e.npz,PBC
8,0.1,1.95,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/c11a6195723970bddea6cbeb6061d116b635314fc20b2b2783426b0a7e431628.npz,PBC
8,0.1,2.0,paramagnetic-like,R0_extension,"High-field continuation, transverse polarization and absence of strong order; interior only",results/stage6_v1/reference_atlas/cache/b540b1563628bd0878ac9bd095656eaf81dbdcdf9518af7bab86d9afddda2ff2.npz,PBC
8,0.2,0.05,ferro-like,R0_extension,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,results/stage6_v1/reference_atlas/cache/f66e422dc13bd70b6ee39902e336e31a7edc3a49e94895e0216eba47749dedfe.npz,PBC
8,0.2,0.1,ferro-like,R0_extension,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,results/stage6_v1/reference_atlas/cache/5a70c568a60cb877452ef543021ac355828fb0ebd6143c874078593db7f0f4e1.npz,PBC
8,0.2,0.15,ferro-like,R0_extension,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,results/stage6_v1/reference_atlas/cache/f158329ab75da49ccf105aa8009d44ff3df0ac594a680949a3b94007c57bda4d.npz,PBC
8,0.2,0.2,ferro-like,R0_extension,Small-field continuation from classical ferro; m0 and fourth moment consistent; not a proved exact region boundary,results/stage6_v1/reference_atlas/cache/7d2e7724e1ccaee592020660ee2e2dbc728acf8bf7bf0eba20f4eec0e34cfcdb.npz,PBC
8,0.2,0.25,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/2c31ea78b7555529d18ff835f91d24208743e2232d334a6b2be189d90b362828.npz,PBC
8,0.2,0.3,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/48f831c5f7b43ddb48516258a01f1d13a619cc5548fc70eea618695497d30318.npz,PBC
8,0.2,0.35,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/09034cdf15961604aa4f78df21c472125ee9ff58c0dd9606d5937963588814d6.npz,PBC
8,0.2,0.4,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/eaefc1822b81f0eb97be267e9c2714834f6c955346c1c0fe02297f0d3c5b0e8a.npz,PBC
8,0.2,0.45,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/e4e9984daeb5b620dc9b3c042a4e49e74c014ea617d80c132b5d5043c22c4204.npz,PBC
8,0.2,0.5,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/2b3c60863b061ce9e9851c986ab529d64dcb390ad4f8f83b81241ce9c12cc68b.npz,PBC
8,0.2,0.55,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/b6678d0c64ab1e29346dc890b14891c87afded24fcbca21bf2a30fe090640717.npz,PBC
8,0.2,0.5625,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/9b7b67e5ed6f709c0b20da152377168a2a590d03725cef18bdd258f804d967ae.npz,PBC
8,0.2,0.575,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/dd1599a466fa1370d59c104e9f726f4b4c9642d1d90e34b0f282c698acb5edf3.npz,PBC
8,0.2,0.5875,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/e5ba8bc5ffa2c949ba03ba7963750f58c1be8a9bdbebbf0c39226a631f3b973a.npz,PBC
8,0.2,0.6,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/d91d6f8af46f5e21a7d86aff3557efdba494cc184cdf4a036aab69f03977d53f.npz,PBC
8,0.2,0.6125,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/3fd5bdd82d3d5fb3452eb96cab585529c554b26dfbee74f1f697dc37241d166a.npz,PBC
8,0.2,0.625,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/ff62694925e5caead8d72d6b8dd1f400222382f20e27918c003dec413740eab0.npz,PBC
8,0.2,0.6375,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/7e5814179d8e943cebf806873c1148b563dede8db5cb9a6084ed2a47c3ba21c4.npz,PBC
8,0.2,0.65,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/5be85fbdca474119395b29ada535067030552f2a3c18b86de97c5423b6246dd0.npz,PBC
8,0.2,0.7,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/f711dc00e46e4d21e1e5012b62ce693c2f5722516733d77f2f1a65574defbe7c.npz,PBC
8,0.2,0.75,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/f7e50b011dbe0d16bfad364cc57082d8af4ca2f5a6b18d0370d5b8e00aa0875b.npz,PBC
8,0.2,0.8,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/8ccd4871b40886371fc4688395614af45244eeb63832985fccd0892d8dbbd4ce.npz,PBC
8,0.2,0.85,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/b5aa98acbb1198b0897dc8575d3e69ac9e04afe8c626d9b149fb9b1769462dd5.npz,PBC
8,0.2,0.9,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/655b67a92838f3305fd22b49b72a275583c6a7194a900ecf96997f852ad1491f.npz,PBC
8,0.2,0.95,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/80461bdf18a9c5728aa7bdcdda2d00c43845c16441e90b37c0292e075427732d.npz,PBC
8,0.2,1.0,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/20dd38d0f92ee9d75f68c712e6ba3fd7ddf3a452dfaa9360d52be10cecfb8d35.npz,PBC
8,0.2,1.05,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/0ddbed6078039a1171692e6e49919b5596cedda5ad3a2d7bd5b90d2bd06b4b4c.npz,PBC
8,0.2,1.1,unlabeled,RN_only,No independent discrete phase label assigned; evaluate named finite-size features,results/stage6_v1/reference_atlas/cache/a13ef207eabe532ce02fef4f62cab562567546285045e48d22c8c8241152e9f1.npz,PBC
